Year,1993,,,,,,,,,,,,,,,
Points,10,6,4,3,2,1,,,,,,,,,,
Races,South Africa,Brazil,Europe,San Marino,Spain,Monaco,Canada,France,Great Britain,Germany,Hungary,Belgium,Italy,Portugal,Japan,Australia
Half Points,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Michele ALBORETO,ab,11,11,nq,nq,ab,nq,nq,nq,16,ab,14,ab,ab,f,f
Jean ALESI,ab,8,ab,ab,ab,3,ab,ab,9,7,ab,ab,2,4,ab,4
Philippe ALLIOT,ab,7,ab,5,ab,12,ab,9,11,12,8,12,9,10,-,-
Michael ANDRETTI,ab,ab,ab,ab,5,8,14,6,ab,ab,ab,8,3,-,-,-
Marco APICELLA,-,-,-,-,-,-,-,-,-,-,-,-,ab,-,-,-
Luca BADOER,ab,12,nq,7,ab,nq,15,ab,ab,ab,ab,13,10,14,f,f
Fabrizio BARBAZZA,ab,ab,6,6,ab,11,ab,ab,-,-,-,-,-,-,-,-
Rubens BARRICHELLO,ab,ab,10,ab,12,9,ab,7,10,ab,ab,ab,ab,13,5,11
Gerhard BERGER,6,ab,ab,ab,6,14,4,14,ab,6,3,10,ab,ab,ab,5
Mark BLUNDELL,3,5,ab,ab,7,ab,ab,ab,7,3,7,11,ab,ab,7,9
Thierry BOUTSEN,-,-,ab,ab,11,ab,12,11,ab,13,9,ab,-,-,-,-
Martin BRUNDLE,ab,ab,ab,3,ab,6,5,5,14,8,5,7,ab,6,9,6
Ivan CAPELLI,ab,nq,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Erik COMAS,ab,10,9,ab,9,ab,8,16,ab,ab,ab,ab,6,11,ab,12
Andrea De CESARIS,ab,ab,ab,ab,dsq,10,ab,15,nc,ab,11,ab,13,12,ab,13
Christian FITTIPALDI,4,ab,7,ab,8,5,9,8,12,11,ab,ab,8,9,-,-
Jean-Marc GOUNON,f,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,ab
Mika HAKKINEN,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,3,ab
Johnny HERBERT,ab,4,4,8,ab,ab,10,ab,4,10,ab,5,ab,ab,11,ab
Damon HILL,ab,2,2,ab,ab,2,3,2,ab,15,1,1,1,3,4,3
Eddie IRVINE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,ab
Ukyo KATAYAMA,ab,ab,ab,ab,ab,ab,17,ab,13,ab,10,15,14,ab,ab,ab
Jan LAMMERS,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pedro LAMY,-,-,-,-,-,-,-,-,-,-,-,-,11,ab,13,ab
JJ LEHTO,5,ab,ab,4,ab,ab,7,ab,8,ab,ab,9,ab,7,8,ab
Pierluigi MARTINI,-,-,-,-,-,-,-,-,ab,14,ab,ab,7,8,10,ab
Emanuele NASPETTI,-,-,-,-,-,-,-,-,-,-,-,-,-,ab,-,-
Riccardo PATRESE,ab,ab,5,ab,4,ab,ab,10,3,5,2,6,5,16,ab,8
Alain PROST,1,ab,3,1,1,4,1,1,1,1,12,3,12,2,2,2
Michael SCHUMACHER,ab,3,ab,2,3,ab,2,3,2,2,ab,2,ab,1,ab,ab
Ayrton SENNA,2,1,1,ab,2,1,18,4,5,4,ab,4,ab,ab,1,1
Aguri SUZUKI,ab,ab,ab,9,10,ab,13,12,ab,ab,ab,ab,ab,ab,ab,7
Toshio SUZUKI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,14
Derek WARWICK,7,9,ab,ab,13,ab,16,13,6,17,4,ab,ab,15,14,10
Karl WENDLINGER,ab,ab,ab,ab,ab,13,6,ab,ab,9,6,ab,4,5,ab,15
Alessandro ZANARDI,ab,6,8,ab,14,7,11,ab,ab,ab,ab,np,-,-,-,-