Year,2014,,,,,,,,,,,,,,,,,,
Points,25,18,15,12,10,8,6,4,2,1,,,,,,,,,
Races,Australia,Malaysia,Bahrain,China,Spain,Monaco,Canada,Austria,Great Britain,Germany,Hungary,Belgium,Italy,Singapore,Japan,Russia,USA,Brazil,Abu Dhabi
Half Points,,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fernando ALONSO,4,4,9,3,6,4,6,5,6,5,2,7,ab,4,ab,6,6,6,9
Jules BIANCHI,nc,ab,16,17,18,9,ab,15,14,15,15,18,18,16,20,-,-,-,-
Valtteri BOTTAS,5,8,8,7,5,ab,7,3,2,2,8,3,4,11,6,3,5,10,3
Jenson BUTTON,3,6,17,11,11,6,4,11,4,8,10,6,8,ab,5,4,12,4,5
Max CHILTON,13,15,13,19,19,14,ab,17,16,17,16,16,ab,17,18,ab,-,-,-
Marcus ERICSSON,ab,14,ab,20,20,11,ab,18,ab,18,ab,17,19,15,17,19,-,-,-
Romain GROSJEAN,ab,11,12,ab,8,8,ab,14,12,ab,ab,ab,16,13,15,17,11,17,13
Esteban GUTIERREZ,12,ab,ab,16,16,ab,14,19,ab,14,ab,15,20,ab,13,15,14,14,15
Lewis HAMILTON,ab,1,1,1,1,2,ab,2,1,3,3,ab,1,1,1,1,1,2,1
Nico HULKENBERG,6,5,5,6,10,5,5,9,8,7,ab,10,12,9,8,12,ab,8,6
Kamui KOBAYASHI,ab,13,15,18,ab,13,ab,16,15,16,ab,-,17,np,19,ab,-,-,ab
Daniil KVYAT,9,10,11,10,14,ab,ab,ab,9,ab,14,9,11,14,11,14,15,11,ab
Kevin MAGNUSSEN,2,9,ab,13,12,10,9,7,7,9,12,12,10,10,14,5,8,9,11
Pastor MALDONADO,ab,ab,14,14,15,np,ab,12,17,12,13,ab,14,12,16,18,9,12,ab
Felipe MASSA,ab,7,7,15,13,7,12,4,ab,ab,5,13,3,5,7,11,4,3,2
Sergio PEREZ,10,np,3,9,9,ab,11,6,11,10,ab,8,7,7,10,10,ab,15,7
Kimi RAIKKONEN,7,12,10,8,7,12,10,10,ab,11,6,4,9,8,12,9,13,7,10
Daniel RICCIARDO,dsq,ab,4,4,3,3,1,8,3,6,1,1,5,3,4,7,3,ab,4
Nico ROSBERG,1,2,2,2,2,1,2,1,ab,1,4,2,2,ab,2,2,2,1,14
Will STEVENS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17
Adrian SUTIL,11,ab,ab,ab,17,ab,13,13,13,ab,11,14,15,ab,21,16,ab,16,16
Jean-Ã‰ric VERGNE,8,ab,ab,12,ab,ab,8,ab,10,13,9,11,13,6,9,13,10,13,12
Sebastian VETTEL,ab,3,6,5,4,ab,3,ab,5,4,7,5,6,2,3,8,7,5,8