Year,2008,,,,,,,,,,,,,,,,,
Points,10,8,6,5,4,3,2,1,,,,,,,,,,
Sprint Points,,,,,,,,,,,,,,,,,,
Races,Australia,Malaysia,Bahrain,Spain,Turkey,Monaco,Canada,France,Great Britain,Germany,Hungary,Europe,Belgium,Italy,Singapore,Japan,China,Brazil
Half Points,,,,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fernando ALONSO,4,8,10,ab,6,10,ab,8,6,11,4,ab,4,4,1,1,4,2
Rubens BARRICHELLO,dsq,13,11,ab,14,6,7,14,3,ab,16,16,ab,17,ab,13,11,15
S̩bastien BOURDAIS,7,ab,15,ab,ab,ab,13,17,11,12,18,10,7,18,12,10,13,14
Jenson BUTTON,ab,10,ab,6,11,11,11,ab,ab,17,12,13,15,15,9,14,16,13
David COULTHARD,ab,9,18,12,9,ab,3,9,ab,13,11,17,11,16,7,ab,10,ab
Anthony DAVIDSON,ab,15,16,ab,f,-,-,-,-,-,-,-,-,-,-,-,-,-
Giancarlo FISICHELLA,ab,12,12,10,ab,ab,ab,18,ab,16,15,14,17,ab,14,ab,17,18
Timo GLOCK,ab,ab,9,11,13,12,4,11,12,ab,2,7,9,11,4,ab,7,6
Lewis HAMILTON,1,5,13,3,2,1,ab,10,1,1,5,2,3,7,3,12,1,5
Nick HEIDFELD,2,6,4,9,5,14,2,13,2,4,10,9,2,5,6,9,5,10
Heikki KOVALAINEN,5,3,5,ab,12,8,9,4,5,5,1,4,10,2,10,ab,ab,7
Robert KUBICA,ab,2,3,4,4,2,1,5,ab,7,8,3,6,3,11,2,6,11
Felipe MASSA,ab,ab,1,2,1,3,5,1,13,3,17,1,1,6,13,7,2,1
Kazuki NAKAJIMA,6,17,14,7,ab,7,ab,15,8,14,13,15,14,12,8,15,12,17
Nelsinho PIQUET,ab,11,ab,ab,15,ab,ab,7,ab,2,6,11,ab,10,ab,4,8,ab
Kimi RAIKKONEN,8,1,2,1,3,9,ab,2,4,6,3,ab,18,9,15,3,3,3
Nico ROSBERG,3,14,8,ab,8,ab,10,16,9,10,14,8,12,14,2,11,15,12
Takuma SATO,ab,16,17,13,f,-,-,-,-,-,-,-,-,-,-,-,-,-
Adrian SUTIL,ab,ab,19,ab,16,ab,ab,19,ab,15,ab,ab,13,19,ab,ab,ab,16
Jarno TRULLI,ab,4,6,8,10,13,6,3,7,9,7,5,16,13,ab,5,ab,8
Sebastian VETTEL,ab,ab,ab,ab,17,5,8,12,ab,8,ab,6,5,1,5,6,9,4
Mark WEBBER,ab,7,7,5,7,4,12,6,10,ab,9,12,8,8,ab,8,14,9
