Year,2009,,,,,,,,,,,,,,,,
Points,10,8,6,5,4,3,2,1,,,,,,,,,
Races,Australia,Malaysia,China,Bahrain,Spain,Monaco,Turkey,Great Britain,Germany,Hungary,Europe,Belgium,Italy,Singapore,Japan,Brazil,Abu Dhabi
Half Points,,YES,,,,,,,,,,,,,,,
Fastest Lap Point,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Jaime ALGUERSUARI,-,-,-,-,-,-,-,-,-,15,16,ab,ab,ab,ab,14,ab
Fernando ALONSO,5,11,9,8,5,7,10,14,7,ab,6,ab,5,3,10,ab,14
Luca BADOER,-,-,-,-,-,-,-,-,-,-,17,14,-,-,-,-,-
Rubens BARRICHELLO,2,5,4,5,2,2,ab,3,6,10,1,7,1,6,7,8,4
Sébastien BOURDAIS,8,10,11,13,ab,8,18,ab,ab,-,-,-,-,-,-,-,-
Sébastien BUEMI,7,16,8,17,ab,ab,15,18,16,16,ab,12,13,ab,ab,7,8
Jenson BUTTON,1,1,3,1,1,1,1,6,5,7,7,ab,2,5,8,5,3
Giancarlo FISICHELLA,11,18,14,15,14,9,ab,10,11,14,12,2,9,13,12,10,16
Timo GLOCK,4,3,7,7,10,10,8,9,9,6,14,10,11,2,f,-,-
Romain GROSJEAN,-,-,-,-,-,-,-,-,-,-,15,ab,15,ab,16,13,18
Lewis HAMILTON,dsq,7,6,4,9,12,13,16,18,1,2,ab,12,1,3,3,ab
Nick HEIDFELD,10,2,12,19,7,11,11,15,10,11,11,5,7,ab,6,ab,5
Kamui KOBAYASHI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,9,6
Heikki KOVALAINEN,ab,ab,5,12,ab,ab,14,ab,8,5,4,6,6,7,11,12,11
Robert KUBICA,14,ab,13,18,11,ab,7,13,14,13,8,4,ab,8,9,2,10
Vitantonio LIUZZI,-,-,-,-,-,-,-,-,-,-,-,-,ab,14,14,11,15
Felipe MASSA,ab,9,ab,14,6,4,6,4,3,f,-,-,-,-,-,-,-
Kazuki NAKAJIMA,ab,12,ab,ab,13,15,12,11,12,9,18,13,10,9,15,ab,13
Nelsinho PIQUET,ab,13,16,10,12,ab,16,12,13,12,-,-,-,-,-,-,-
Kimi RAIKKONEN,15,14,10,6,ab,3,9,8,ab,2,3,1,3,10,4,6,12
Nico ROSBERG,6,8,15,9,8,6,5,5,4,4,5,8,16,11,5,ab,9
Adrian SUTIL,9,17,17,16,ab,14,17,17,15,ab,10,11,4,ab,13,ab,17
Jarno TRULLI,3,4,ab,3,ab,13,4,7,17,8,13,ab,14,12,2,ab,7
Sebastian VETTEL,13,15,1,2,4,ab,3,1,2,ab,ab,3,8,4,1,4,1
Mark WEBBER,12,6,2,11,3,5,2,2,1,3,9,9,ab,ab,17,1,2